"","id","outliersPro","estimated_rate_Before_Handling","estimated_rate_After_Q_b_F_C","estimated_rate_After_mean","estimated_rate_After_median","Before_P_value","Q_b_F_C_P_value","mean_P_value","median_P_value"
"42",536,0.0858283433133733,0.650276480775451,0.73490687755409,1.03174163250103,1.11191358008757,0,0,0,0
"43",537,0.0641210374639769,0.678753131383227,0.715465424657624,0.862636200812317,0.885440942856421,0,0.011,0.2755,0.0335
"44",539,0.0155038759689922,0.515127717156964,0.522412323126729,0.543172212130011,0.545040995797181,0.8835,0.9575,0.9835,0.979
"45",541,0.0450751252086811,0.774573967641806,0.801266181621193,0.911483976245864,0.925737308899203,0.029,0.3245,0.7895,0.636
"46",543,0.0953101361573374,0.299935300348429,0.340737057736394,0.453050991996916,0.471670439592524,0,0.0435,0.4725,0.0965
"47",554,0.135175504107543,0.510905446267376,0.825348875374615,1.4431449976823,1.6017714852586,0,0,0,0
"48",561,0.0934256055363322,0.629355399557235,0.82915628450195,1.07123554247511,1.09894854463582,0,0.733,1,1
"49",562,0.00917431192660551,0.394125883682107,0.406404498701789,0.417130685364771,0.418418299388631,0.054,0.558,0.6425,0.6035
"50",607,0.0190735694822888,0.492914816445548,0.498715464952794,0.523043792913146,0.524898097755972,0.9975,1,1,1
"51",615,0.152259332023576,0.637055128633531,1.2836075035271,2.48474956301316,2.78925902041804,0,0,0,0
"52",616,0.110185185185185,0.702985787242648,1.05654339686538,1.58638486942697,1.6964135385346,0,0,0,0
"53",633,0.0546875,0.5716610966468,0.608367455112474,0.701214414508734,0.711106737054066,0.111,0.622,0.8565,0.8165
"54",642,0.101321585903084,0.970942708856656,1.15752793425285,1.68231074723356,1.80091465506784,0,0,0,0
"55",647,0.128119800332779,0.67579597254292,0.918253725133899,1.4822858712079,1.60608523759222,0,0,0,0
"56",674,0.0817757009345794,0.200795385815216,0.219742976892011,0.288516095010284,0.301157040486408,0,0,0,0
"57",686,0.00345423143350604,0.323841301086164,0.324820154624186,0.327689425864058,0.327723946640569,1,1,1,1
"58",714,0.0174418604651163,0.319698151964762,0.324616989889925,0.344254537565481,0.347004195013394,0.001,0.0025,0.0085,0.004
"59",723,0.00278035217794254,0.467190069617492,0.46883917729537,0.472569010331297,0.472956697353944,0.9995,1,1,1
"60",730,0.0151085930122757,0.323660231656017,0.326369907837169,0.339554214332597,0.340414863781331,1,1,1,1
"61",747,0.163265306122449,1.34669109037101,4.51164014143938,9.34717810220969,10.5560084685101,0,0,0,0
"62",758,0.101282916948008,0.977783106568694,1.21926040484069,1.76978991278458,1.89632727217775,0,0,0,0
"63",777,0.0724409448818898,0.756146479292209,0.853330635359686,1.06404746067414,1.0942551718502,0,0,0.2375,0.0105
"64",802,0.00704225352112676,0.126777322736251,0.130633734878054,0.132779444764694,0.133026377752105,0.636,0.9845,0.99,0.9935
"65",817,0.136633663366337,0.34200228422418,0.527870009235106,0.941248146358559,1.04645289202532,0,0,0,0
"66",820,0.00310077519379845,0.368825801434721,0.369226249604719,0.372221785180917,0.372391039021043,1,1,1,1
"67",824,0.0203086921202275,0.602347078945124,0.612718061871266,0.651942401845625,0.658236556241982,0,0,0.001,0
"68",829,0.171308016877637,0.361766458001291,0.496123838018148,1.03468925138868,1.14986119804652,0,0,0,0
"69",834,0.0360576923076923,0.200917167872514,0.206575650515898,0.22550841194591,0.226371456639288,0.916,0.9985,1,1
"70",839,0.00935828877005348,0.46439844933606,0.467985253699146,0.480540595771318,0.481924955142426,0.9585,0.994,0.997,0.9975
"71",841,0.0109243697478992,0.492793523635274,0.496639436377326,0.513602424748075,0.515960445628464,0.047,0.1535,0.284,0.254
"72",846,0.0434782608695652,0.317493879024728,0.33207616414693,0.373207046319687,0.378426675946869,0.112,0.7755,0.97,0.949
"73",862,0.094147582697201,0.669580106252858,0.817009402438394,1.11277723337006,1.16118977234456,0,0,0.0065,5e-04
"74",885,0.0278260869565217,0.358660666450726,0.37359610250524,0.400832178836868,0.402541180622158,0.717,1,1,1
